UNIQUE KEY,DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLISTS INJURED,CYCLISTS KILLED,MOTORISTS INJURED,MOTORISTS KILLED,VEHICLE 1 TYPE,VEHICLE 2 TYPE,VEHICLE 3 TYPE,VEHICLE 4 TYPE,VEHICLE 5 TYPE,VEHICLE 1 FACTOR,VEHICLE 2 FACTOR,VEHICLE 3 FACTOR,VEHICLE 4 FACTOR,VEHICLE 5 FACTOR
3146860,01/02/2015,17:30,QUEENS,11411,40.6949385,-73.7331388,"(40.6949385, -73.7331388)",227 STREET,116 AVENUE,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,UNSPECIFIED,UNSPECIFIED,,,
3147282,01/02/2015,17:30,QUEENS,11422,40.6564226,-73.7315232,"(40.6564226, -73.7315232)",257 STREET,147 ROAD,,0,0,0,0,0,0,0,0,UNKNOWN,,,,,UNSPECIFIED,,,,
3146426,01/02/2015,17:30,,,40.6977347,-73.8140794,"(40.6977347, -73.8140794)",ATLANTIC AVENUE,VAN WYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,VAN,,,,DRIVER INATTENTION/DISTRACTION,UNSPECIFIED,,,
3146671,01/02/2015,17:30,BRONX,10454,40.8068402,-73.9274915,"(40.8068402, -73.9274915)",BRUCKNER BOULEVARD,ALEXANDER AVENUE,,1,0,1,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,UNSPECIFIED,,,,
3146512,01/02/2015,17:30,QUEENS,11362,40.7569923,-73.7296524,"(40.7569923, -73.7296524)",61 AVENUE,MARATHON PARKWAY,,1,0,1,0,0,0,0,0,PASSENGER VEHICLE,,,,,UNSPECIFIED,,,,
3146271,01/02/2015,17:31,BRONX,10470,40.8962424,-73.8724104,"(40.8962424, -73.8724104)",EAST 233 STREET,ONEIDA AVENUE,,0,0,0,0,0,0,0,0,OTHER,OTHER,,,,UNSPECIFIED,UNSPECIFIED,,,
3146867,01/02/2015,17:33,QUEENS,11417,40.6671159,-73.8346499,"(40.6671159, -73.8346499)",NORTH CONDUIT AVENUE,COHANCY STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3149122,01/02/2015,17:40,,,40.7429662,-73.8300388,"(40.7429662, -73.8300388)",,,,0,0,0,0,0,0,0,0,LARGE COM VEH(6 OR MORE TIRES),SPORT UTILITY/STATION WAGON,,,,ALCOHOL INVOLVEMENT,UNSPECIFIED,,,
3147151,01/02/2015,17:40,BROOKLYN,11226,40.6451934,-73.9479944,"(40.6451934, -73.9479944)",BEVERLEY ROAD,EAST 31 STREET,,2,0,0,0,0,0,2,0,PASSENGER VEHICLE,PASSENGER VEHICLE,VAN,,,FAILURE TO YIELD RIGHT-OF-WAY,UNSPECIFIED,UNSPECIFIED,,
3146690,01/02/2015,17:40,BRONX,10456,40.8325737,-73.9105155,"(40.8325737, -73.9105155)",CLAY AVENUE,EAST 168 STREET,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,DRIVER INATTENTION/DISTRACTION,DRIVER INATTENTION/DISTRACTION,,,
3146730,01/02/2015,17:40,BRONX,10468,40.8626793,-73.9090397,"(40.8626793, -73.9090397)",WEST FORDHAM ROAD,SEDGWICK AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,,,,,UNSPECIFIED,,,,
3146604,01/02/2015,17:40,MANHATTAN,10018,40.7565272,-73.994019,"(40.7565272, -73.994019)",WEST 39 STREET,9 AVENUE,,0,0,0,0,0,0,0,0,SPORT UTILITY/STATION WAGON,TAXI,,,,UNSPECIFIED,,,,
3146330,01/02/2015,17:41,BROOKLYN,11220,40.6396484,-74.0303208,"(40.6396484, -74.0303208)",67 STREET,COLONIAL ROAD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,LIVERY VEHICLE,,,,UNSPECIFIED,UNSPECIFIED,,,
3147263,01/02/2015,17:45,QUEENS,11385,40.7060836,-73.8688105,"(40.7060836, -73.8688105)",80 STREET,77 ROAD,,0,0,0,0,0,0,0,0,PASSENGER VEHICLE,SPORT UTILITY/STATION WAGON,,,,FATIGUED/DROWSY,UNSPECIFIED,,,
